title,postal_code,beds,baths,sq_feet,price
Lot / Land for sale,94134,2.0,2.0,1857.1671,3600000.0
Condo for sale,94115,4.0,5.0,4004.0,4698000.0
Condo for sale,94115,3.0,3.0,1891.0,1849000.0
Condo for sale,94115,4.0,2.0,2321.0,2149000.0
Condo for sale,94115,3.0,3.0,1881.0,2295000.0
New construction,94115,3.0,4.0,2888.0,5800000.0
House for sale,94115,3.0,2.0,1032.0,699000.0
House for sale,94115,5.0,5.0,5137.0,4995000.0
Condo for sale,94115,1.0,1.0,712.0,849000.0
House for sale,94115,2.0,1.0,1393.0,1099000.0
House for sale,94115,2.0,1.0,1015.0,799000.0
House for sale,94115,1.0,1.0,570.0,499000.0
House for sale,94115,2.0,1.0,1351.0,979000.0
Condo for sale,94115,3.0,4.0,3200.0,5895000.0
Condo for sale,94115,2.0,1.0,1857.1671,1325000.0
Condo for sale,94115,3.0,2.0,1569.0,1680000.0
Condo for sale,94115,3.0,3.0,1513.0,1395000.0
Condo for sale,94115,2.0,2.0,1211.0,1349000.0
House for sale,94115,3.0,2.0,2450.0,2999000.0
Condo for sale,94115,3.0,2.0,1375.0,1995000.0
Condo for sale,94115,1.0,1.0,810.0,899000.0
House for sale,94115,2.0,2.0,1857.1671,1177000.0
Condo for sale,94115,1.0,1.0,740.0,343558.0
House for sale,94115,9.0,7.0,3271.0,3999000.0
Condo for sale,94115,5.0,4.0,5180.0,7950000.0
House for sale,94115,4.0,4.0,3445.0,3499000.0
Condo for sale,94115,3.0,4.0,2680.0,4695000.0
Condo for sale,94115,1.0,1.0,653.0,674000.0
Condo for sale,94115,1.0,2.0,1172.0,1170000.0
Condo for sale,94115,2.0,2.0,1496.0,1645000.0
House for sale,94115,2.0,3.0,1857.1671,2500000.0
House for sale,94115,4.0,2.0,1770.0,1650000.0
Condo for sale,94115,3.0,3.0,2117.0,2690000.0
Under Contract,94115,2.0,1.0,1857.1671,630000.0
Condo for sale,94115,2.0,3.0,1332.0,1499000.0
Condo for sale,94115,3.0,3.0,2220.0,1995000.0
House for sale,94115,5.0,3.0,3400.0,3250000.0
Under Contract,94115,1.0,1.0,550.0,499000.0
Condo for sale,94118,2.0,2.0,1120.0,1001150.0
Condo for sale,94118,3.0,3.0,1857.1671,1950000.0
Condo for sale,94118,3.0,3.0,2291.0,1895000.0
Condo for sale,94118,4.0,3.0,2700.0,2495000.0
