,title,postal_code,provider,beds,baths,sq_feet,price,,,,,postal_code,price,,postal_code,mean_price,,,
132,House for sale,94123,Trident Real Estate,12,0,9450,7600000,,,,,94123,7600000,,,,,,
133,Under Contract,94123,City Real Estate,2,2,1128,1250000,,,,,94123,1250000,,,,,,
134,House for sale,94123,Compass,3,3,2442,2295000,,,,,94123,2295000,,,,,,
135,Under Contract,94123,Golden Gate Sotheby's Intl,1,1,670,849000,,,,,94123,849000,,,,,,
137,Condo for sale,94123,Compass,3,3,2100,2497000,,,,,94123,2497000,,,,,,
139,New construction,94123,JS Sullivan Sales and Marketin,3,3,2073,3125000,,,,,94123,3125000,,,,,,
140,House for sale,94123,Corcoran Global Living,1,1,806,825000,,,,,94123,825000,,,,,,
141,Condo for sale,94123,Compass SF,0,1,0,799000,,,,,94123,799000,,,,,,
142,House for sale,94123,Sotheby's International Realty,3,3,2260,2598000,,,,,94123,2598000,,,,,,
143,New construction,94123,Compass,6,6,7195,14500000,,,,,94123,14500000,,,,,,
144,House for sale,94123,Sotheby's International Realty,10,7,5890,5500000,,,,,94123,5500000,,,,,,
145,Condo for sale,94123,Sotheby's International Realty,3,3,1717,1995000,,,,,94123,1995000,,,,,,
149,New construction,94123,JS Sullivan Sales and Marketin,1,1,697,998000,,,,,94123,998000,,,,,,
150,Condo for sale,94123,Corcoran Global Living,3,4,2529,3150000,,,,,94123,3150000,,,,,,
151,House for sale,94123,Compass,5,6,4206,6500000,,,,,94123,6500000,,,,,,
152,House for sale,94123,Colliers International,6,0,6324,4000000,,,,,94123,4000000,,,,,,
153,House for sale,94123,Compass,5,5,3274,3700000,,,,,94123,3700000,,,,,,
154,House for sale,94123,Compass,4,4,5142,13999000,,,,,94123,13999000,,,,,,
155,House for sale,94123,Mark Vasquez,2,2,1320,1395000,,,,,94123,1395000,,,,,,
156,House for sale,94123,Mark Vasquez,5,0,3276,3795000,,,,,94123,3795000,,,,,,
157,New construction,94123,Vanguard Properties,2,2,1044,1695000,,,,,94123,1695000,,,,,,
158,Under Contract,94123,Sotheby's International Realty,5,0,3107,2495000,,,,,94123,2495000,,,,,,
159,House for sale,94123,Sotheby's International Realty,5,0,4188,3600000,,,,,94123,3600000,,,,,,
160,House for sale,94123,Compass,3,4,3111,4500000,,,,,94123,4500000,,,,,,
161,Condo for sale,94123,Coldwell Banker Realty,2,2,1595,1795000,,,,,94123,1795000,,,,,,
162,House for sale,94123,Kinoko,3,1,3037,2645000,,,,,94123,2645000,,,,,,
163,Condo for sale,94123,Compass,2,2,0,1595000,,,,,94123,1595000,,,,,,
164,New construction,94123,Vanguard Properties,2,2,1200,1649000,,,,,94123,1649000,,,,,,
165,New construction,94123,Vanguard Properties,1,1,721,1049000,,,,,94123,1049000,,,,,,
166,Under Contract,94123,Sotheby's International Realty,2,2,1434,1649000,,,,,94123,1649000,,,,,,
167,Condo for sale,94115,Coldwell Banker Realty,4,5,4004,4698000,,,,,94115,4698000,,,,,,
168,Condo for sale,94103,San Francisco Marketing,2,2,1565,1195000,,,,,94103,1195000,,,,,,
170,Condo for sale,94111,Compass SF,1,1,1006,960000,,,,,94111,960000,,,,,,
171,Condo for sale,94133,Compass,1,1,700,789000,,,,,94133,789000,,,,,,
172,Condo for sale,94103,Vanguard Properties,1,1,541,595000,,,,,94103,595000,,,,,,
173,Condo for sale,94109,Present Financial Properties,1,1,653,649000,,,,,94109,649000,,,,,,
175,New construction,94103,Keller Williams San Francisco,2,2,955,700000,,,,,94103,700000,,,,,,
176,Condo for sale,94105,Bay Real Estate Group,2,2,1259,1649000,,,,,94105,1649000,,,,,,
177,Under Contract,94109,North Point Real Estate,2,1,852,1400000,,,,,94109,1400000,,,,,,
178,Condo for sale,94105,Bay Real Estate Group,2,2,1491,2599000,,,,,94105,2599000,,,,,,
179,Condo for sale,94109,T. Okamoto & Co.,1,1,616,599000,,,,,94109,599000,,,,,,
181,House for sale,94115,Compass,3,2,1032,699000,,,,,94115,699000,,,,,,
183,Condo for sale,94109,Compass,3,2,1258,1349000,,,,,94109,1349000,,,,,,
184,Condo for sale,94111,San Francisco R.E. Svcs.,2,2,1532,1450000,,,,,94111,1450000,,,,,,
185,House for sale,94114,Compass,4,2,2112,1895000,,,,,94114,1895000,,,,,,
186,Condo for sale,94111,Compass,1,1,1030,949000,,,,,94111,949000,,,,,,
187,Condo for sale,94158,Vanguard Properties,2,2,1569,2698888,,,,,94158,2698888,,,,,,
188,Condo for sale,94105,Compass,1,1,694,749000,,,,,94105,749000,,,,,,
189,House for sale,94110,Vanguard Properties,3,2,1475,1295000,,,,,94110,1295000,,,,,,
190,Condo for sale,94107,Vanguard Properties,3,3,1642,1245000,,,,,94107,1245000,,,,,,
191,New construction,94103,Vanguard Properties,2,2,844,949000,,,,,94103,949000,,,,,,
192,Condo for sale,94109,Coldwell Banker Realty,2,2,1382,950000,,,,,94109,950000,,,,,,
193,Condo for sale,94107,Compass,3,1,1297,1050000,,,,,94107,1050000,,,,,,
195,Condo for sale,94105,Compass,2,2,1268,2200000,,,,,94105,2200000,,,,,,
196,Condo for sale,94114,Ascend Real Estate,3,2,1605,1799000,,,,,94114,1799000,,,,,,
197,Condo for sale,94107,Inspire Real Estate,2,2,1763,1450000,,,,,94107,1450000,,,,,,
198,Condo for sale,94110,Compass,1,2,1003,1099000,,,,,94110,1099000,,,,,,
199,Condo for sale,94105,Compass,2,2,995,1150000,,,,,94105,1150000,,,,,,
201,Condo for sale,94104,Marker Real Estate,3,3,2485,2995000,,,,,94104,2995000,,,,,,
202,Condo for sale,94103,Compass,2,1,1547,1349000,,,,,94103,1349000,,,,,,
203,Condo for sale,94107,Coldwell Banker Realty,1,2,860,875000,,,,,94107,875000,,,,,,
205,Condo for sale,94107,Corcoran Global Living,1,1,887,898000,,,,,94107,898000,,,,,,
206,Condo for sale,94107,Corcoran Global Living,1,1,866,998000,,,,,94107,998000,,,,,,
207,House for sale,94134,Compass Commercial,6,4,3227,1550000,,,,,94134,1550000,,,,,,
210,House for sale,94134,Better Homes and Gardens Thriv,3,2,1175,998889,,,,,94134,998889,,,,,,
211,Condo for sale,94134,Compass,3,2,1424,974000,,,,,94134,974000,,,,,,
212,Condo for sale,94134,Far East Realty,2,2,935,699000,,,,,94134,699000,,,,,,
216,House for sale,94134,Compass,4,4,2640,1050000,,,,,94134,1050000,,,,,,
218,House for sale,94134,Corcoran Global Living,3,2,0,1150000,,,,,94134,1150000,,,,,,
219,Condo for sale,94134,Vanguard Properties,2,2,935,698000,,,,,94134,698000,,,,,,
224,Condo for sale,94134,Compass SF,2,2,1073,738000,,,,,94134,738000,,,,,,
225,Under Contract,94134,Intero Real Estate Services,4,0,2122,1448888,,,,,94134,1448888,,,,,,
227,House for sale,94134,Coldwell Banker Realty,2,2,2100,899000,,,,,94134,899000,,,,,,
228,House for sale,94134,Green Banker,4,3,2610,1350000,,,,,94134,1350000,,,,,,
229,Under Contract,94134,Compass SF,1,1,807,599000,,,,,94134,599000,,,,,,
230,House for sale,94134,BarbCo,3,2,1396,795000,,,,,94134,795000,,,,,,
232,Lot / Land for sale,94134,The Agency,0,0,0,3600000,,,,,94134,3600000,,,,,,
234,Condo for sale,94115,Coldwell Banker Realty,4,5,4004,4698000,,,,,94115,4698000,,,,,,
235,Condo for sale,94115,Sotheby's International Realty,3,3,1891,1849000,,,,,94115,1849000,,,,,,
236,Condo for sale,94115,Sotheby's International Realty,4,2,2321,2149000,,,,,94115,2149000,,,,,,
237,Condo for sale,94115,Compass,3,3,1881,2295000,,,,,94115,2295000,,,,,,
238,New construction,94115,"Helena Geng, Broker",3,4,2888,5800000,,,,,94115,5800000,,,,,,
239,House for sale,94115,Compass,3,2,1032,699000,,,,,94115,699000,,,,,,
240,House for sale,94115,Sotheby's International Realty,5,5,5137,4995000,,,,,94115,4995000,,,,,,
241,Condo for sale,94115,Vanguard Properties,1,1,712,849000,,,,,94115,849000,,,,,,
242,House for sale,94115,Corcoran Global Living,2,1,1393,1099000,,,,,94115,1099000,,,,,,
243,House for sale,94115,Corcoran Global Living,2,1,1015,799000,,,,,94115,799000,,,,,,
244,House for sale,94115,Corcoran Global Living,1,1,570,499000,,,,,94115,499000,,,,,,
245,House for sale,94115,Corcoran Global Living,2,1,1351,979000,,,,,94115,979000,,,,,,
246,Condo for sale,94115,GPK Luxury Real Estate,3,4,3200,5895000,,,,,94115,5895000,,,,,,
247,Condo for sale,94115,Compass,2,1,0,1325000,,,,,94115,1325000,,,,,,
248,Condo for sale,94115,Compass,3,2,1569,1680000,,,,,94115,1680000,,,,,,
249,Condo for sale,94115,Norcal Realty,3,3,1513,1395000,,,,,94115,1395000,,,,,,
250,Condo for sale,94115,Compass,2,2,1211,1349000,,,,,94115,1349000,,,,,,
251,House for sale,94115,Compass SF,3,2,2450,2999000,,,,,94115,2999000,,,,,,
252,Condo for sale,94115,Keller Williams San Francisco,3,2,1375,1995000,,,,,94115,1995000,,,,,,
